order_weight_kg,distance_km,is_peak_hour,items_count,delivery_time_min
8.7,3.2,0,6,20.19
1.2,8.5,0,10,22.59
14.6,5.5,0,10,35.66
7.5,1.9,0,6,20.4
7.7,6.5,1,1,62.86
3.0,1.5,1,3,47.53
6.6,4.6,1,5,59.56
5.1,4.8,1,12,50.35
6.7,3.3,1,2,63.5
1.3,2.9,0,14,6.09
5.5,0.5,1,10,49.2
13.6,1.2,1,10,57.18
2.1,8.5,0,18,9.75
12.0,5.5,0,12,32.96
12.0,2.3,0,12,26.85
12.0,0.8,0,18,29.68
8.1,1.6,1,12,48.8
12.0,3.1,1,13,56.92
6.6,5.0,1,11,64.52
3.3,4.8,1,6,55.9
7.6,8.4,1,5,72.1
1.7,6.3,0,14,33.43
11.1,8.8,0,8,35.74
0.7,4.9,1,8,41.63
9.9,6.4,0,15,25.73
